HOT BROWNIE AMAZONELLA,19059090,18.0,TRIBUTADO,nan
ADC FERRERO ROCHER CREMOSO,18069000,0.0,ST,1700600
ADC CREME DE CUPUACU,20079926,18.0,TRIBUTADO,nan
FRAPPUCINOS 400ML,21050090,0.0,ST,nan
BRASIL 300ML DO DIA,21050090,0.0,ST,nan
ADC BIS PRETO,19053200,0.0,ST,1705700
HULA HULA,21050090,0.0,ST,nan
CREME - SRVT,21050090,0.0,ST,nan
ADC OURO BRANCO,21050090,0.0,ST,2300100
PICOLE ACAI,21050090,0.0,ST,2300100
CASCAO SIMPLES,21050090,0.0,ST,nan
COMBO BAHIA,21050090,0.0,ST,nan
GRANULADO PRETO,18069000,0.0,ST,nan
ADC POLPA DE MARACUJA,20079990,18.0,TRIBUTADO,nan
KIDS FESTA - COMBINHO,21050090,0.0,ST,nan
TACA VERANO,21050090,0.0,ST,nan
SUCO DEL VALE PESSEGO LATA,22021000,0.0,ST,nan
ACAI C PACOCA,21050090,0.0,ST,2300100
ACAI C VINHO BATIDO,21050090,0.0,ST,2300100
LAKA CREMOSO,21050090,0.0,ST,nan
PICOLE UVA,21050090,0.0,ST,nan
ACAI C LEITE CONDENSADO,21050090,0.0,ST,2300100
COMBO ESPECIAL 700ML,21050090,0.0,ST,nan
ADC CASQUINHA,21050090,0.0,ST,2300100
CASQUINHA TRUFADA BRIGADEIRO,21050090,0.0,ST,nan
ADC GRANULADO,18069000,0.0,ST,1700600
MORANGO - MEGA CREAM,21050090,0.0,ST,nan
AMAZONELLA - MEGA CREAM,21050090,0.0,ST,nan
BRIGADEIRO,18062000,0.0,ST,nan
COMBO KIDS,21050090,0.0,ST,nan
KIDS 300ML DO DIA,21050090,0.0,ST,nan
PICOLE LIMAO,21050090,0.0,ST,nan
MILK SHAKE GOURMET,21050090,0.0,ST,nan
OPC FLOCOS,19041000,0.0,ST,nan
COMBO LOVERS BANANA,21050090,0.0,ST,nan
